titulo,preco_antigo,preco_novo,desconto,link
Panela De Pressão Philco Ppp02pi Inox Multifuncional 5l Cor Preto 127v,599,R$399,33% OFF,https://www.mercadolivre.com.br/panela-de-presso-philco-ppp02pi-inox-multifuncional-5l-cor-preto-127v/p/MLB16162795?pdp_filters=item_id%3AMLB5337956232#polycard_client=offers&wid=MLB5337956232&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=10
Caixa De Som Boombox Aws-bbs-02-a Bluetooth Aiwa 110v/220v Preto,799,R$399,50% OFF,https://www.mercadolivre.com.br/caixa-de-som-boombox-aws-bbs-02-a-bluetooth-aiwa-110v220v-preto/p/MLB27819165?pdp_filters=item_id%3AMLB3498337485#polycard_client=offers&wid=MLB3498337485&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=11
Kit 6 Pares Meias Masculina Lupo Cano Curto Algodão,99,"R$49,90",50% OFF,https://produto.mercadolivre.com.br/MLB-889450652-kit-6-pares-meias-masculina-lupo-cano-curto-algodo-_JM#polycard_client=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&position=12&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831
Samsung Galaxy A25 5g Dual Sim 128gb Azul Escuro 6gb Ram,1.570,R$1.099,30% OFF,https://www.mercadolivre.com.br/samsung-galaxy-a25-5g-dual-sim-128gb-azul-escuro-6gb-ram/p/MLB34103803?pdp_filters=item_id%3AMLB3932141553#polycard_client=offers&wid=MLB3932141553&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=13
Smart Tv Aiwa 43 Android Full Hd Borda Ultrafina Hdr10 Dolby Áudio Aws-tv-43-bl-02-a,1.899,R$1.299,31% OFF,https://www.mercadolivre.com.br/smart-tv-aiwa-43-android-full-hd-borda-ultrafina-hdr10-dolby-audio-aws-tv-43-bl-02-a/p/MLB20662382?pdp_filters=item_id%3AMLB3085731370#polycard_client=offers&wid=MLB3085731370&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=14
Console Sony Playstation 5 Digital Slim 1tb  Branco + Jogos Returnal E Ratchet & Clank + Controle Sem Fio Dualsense Branco,4.271,R$3.549,16% OFF,https://www.mercadolivre.com.br/console-sony-playstation-5-digital-slim-1tb-branco-jogos-returnal-e-ratchet-clank-controle-sem-fio-dualsense-branco/p/MLB37494438?pdp_filters=item_id%3AMLB3792230407#polycard_client=offers&wid=MLB3792230407&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=15
"Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 128gb Emmc, Tela 15.6  Hd Antirreflexo, Windows 11, Tecla Link, Cinza",2.855,R$2.570,9% OFF no Pix,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=dEzntffjzzVsDV5EBkrV4DlBjuo5CMp2ojnntc7sSiGW2dn8XRGrjbkJBG%2FMXHqkHarZnEleQELo75lHiQzL9WDytr%2F4wjUWgabuiAzLEbgPbjoDlwt%2BhSdFYWzKzzk0477gCW9d2mQQJTjO4cYZUD%2BfL9x89h8es%2FQt7FNCBLY5qKv5DFjrOjtCvKIciB%2BA1tzy%2FVYapwqI05Xypn9R%2FlJDg3n4xyGEcwTfGebEwxKAUvtEzTuHrLn5U%2FlUhVAq%2F8KmExUEOXbDa9llNwZ9qttrhzRZS9%2BFDLE6Nu%2BT%2Fmim2SOAdr%2BZCpSgbixL5DC%2F0U3498%2BT1CeWBK23%2F7B3JP2%2BibzpxBuhZQpmiwVsHJsNzVE4JXK9j28JrunttEFl4kjTpMRnOHIi3PuRiwAEinE%2B%2BKF358UZpCVFJUwTEjfPIp21%2Fa3XOQNEBwOUGEzpijGoHmy046Vy0SSByqd%2BfgO9idwa7HP1KNJlredTo7PKxw4afwT5XCp4Eftj6qIKvAOD7zJyqaNs2jwRUbLSwdcckLWvGgHmjCMcGuya&url=https%3A%2F%2Fwww.mercadolivre.com.br%2Fnotebook-positivo-vision-c15-lumina-bar-celeron-8gb-128gb-emmc-tela-156-hd-antirreflexo-windows-11-tecla-link-cinza%2Fp%2FMLB37039056%23wid%3DMLB4710185340%26sid%3Doffers%26searchVariation%3DMLB37039056%26position%3D16%26search_layout%3Dgrid%26deal_print_id%3Df1b37430-ce15-44cc-a28f-57ee1a0334b9%26tracking_id%3D85036982-af31-4e41-9a4c-7cd471e31831&lm=768944920#polycard_client=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&position=16&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&wid=MLB4710185340&sid=offers
Calça Cargo Jogger Jeans Feminina Cintura Alta Com Lycra,109,"R$69,64",36% OFF,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=lA%2Fd95kiGoLDbInmPCRzzVp%2FDQXjeLZRL%2FTD0v%2BU0w7W%2FVyBUYtKYbKLaJB4NmLvN%2FJzmRCXU2x5OYPAQpJakusfJahLBehjJsDgaG98TVe%2B1rpg03GwKyVCZNrZfSKP4dA81gft5aO3BBKOMy%2Fj%2FpaGLo%2BYdaqrxGIEARymgmAd4P4oMlA%2Fq40sHLJXSPCFnVuyXnAS23FrTGgS07%2BtPdJbHVj5ow2oJs22poi1hqUIUqTvAU4%2BvAji5zx1UlLM4of8YvzIOiWrVUb%2FbIfbv7jhWb%2BboktvFeGSyrxhIlREC3djo%2Bmj0kAiEi19fTosHd6R1SbjVoYUSj5rlUCw0UkAsYaC6IAvsmE2%2Fq2ccH3rU2LdFxYCj5vxDnV16KuGkFgdg9D3VA4im1dQ7xSSRT%2Fl%2FblPpkmpKmAOKEq9pXMiaxGKs9qhAJEZtT6dpf%2FVOKlyLw%2BXETr7Z7b6BxliC9fuL3bYdJ7VJ99iJzEjvKg6QSws%2FEYyckuGjNAwuwA3nS7lfAcXqPGZreik%2BFj4xBIU9x9vD6s6nQ%2FcqTBl&url=https%3A%2F%2Fproduto.mercadolivre.com.br%2FMLB-3673376894-calca-cargo-jogger-jeans-feminina-cintura-alta-com-lycra-_JM%23searchVariation%3D0%26position%3D17%26search_layout%3Dgrid%26deal_print_id%3Df1b37430-ce15-44cc-a28f-57ee1a0334b9%26tracking_id%3D85036982-af31-4e41-9a4c-7cd471e31831&lm=1808246618#polycard_client=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&position=17&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831
"Micro-ondas Mondial 1200w, Mo-01-21-b Preto 110v",679,"R$547,99",19% OFF,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=S8r%2BX6KUn4T8lEaNWhmc7fh9W8U3Z8ZjdiIEYSd49ZsjSevBUh6ib%2FzkVMPXjzGhB6KneTua80ybqihNBScVyZV8c%2B4dbqNLyePiJuvSJr8B%2B5%2FYuXZluZPwvO9jXHcXw3tG3pH4v0GHPOn06C9ftADliIOG6nxk64ejMM9RBKDL2lKCZZjGTFhFdr9u0zuHpQVvKma823hV%2BPhSi1eCC%2F2%2F448wZTMlW7%2BWGIMCz09sp0cEJixBXGebfjKC5eabQyIExHO9KGipFawdzn5yMrrcIC1odvg7CRszsF6q%2FGqn3vtGhD9ETD7kJRAv1xkW1TJQD0qbthbn7mO4KHrEsx6nd9EenpnAEjqNkXDpHnTezkKgvjWGYbhixH2V7z7Swg6JpvSXWjidL22y3g15%2FsxdlVPCeGeWySyGHCNhupQNw8PHdMOsBSf2RYaheiu4igyFL7qJdtLeGD36f9cISngxEfa%2FbD7TdEXvsvecsyMKT%2BFO6Of281cwBhbm5dPfKApiudtbUhtzlYyFujU9%2BiVAWfyjyxcyWJLR1%2Bw%3D&url=https%3A%2F%2Fwww.mercadolivre.com.br%2Fmicro-ondas-mondial-1200w-mo-01-21-b-preto-110v%2Fp%2FMLB19119113%23wid%3DMLB2679694999%26sid%3Doffers%26searchVariation%3DMLB19119113%26position%3D18%26search_layout%3Dgrid%26deal_print_id%3Df1b37430-ce15-44cc-a28f-57ee1a0334b9%26tracking_id%3D85036982-af31-4e41-9a4c-7cd471e31831&lm=-353049999#polycard_client=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&position=18&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&wid=MLB2679694999&sid=offers
Kit 2câmera Ip Icsee Prova D'água Infravermelho Externa Wifi - Bahrein,339,R$203,40% OFF,https://www.mercadolivre.com.br/kit-2cmera-ip-icsee-prova-dagua-infravermelho-externa-wifi-bahrein/p/MLB46836439?pdp_filters=item_id%3AMLB5309063322#polycard_client=offers&wid=MLB5309063322&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=19
Micro-ondas Mto30 20l Com Função Tira Odor E Descongelar Cor Branco Electrolux 127v,649,"R$496,85",23% OFF no Pix ou Saldo no Mercado Pago,https://www.mercadolivre.com.br/micro-ondas-mto30-20l-com-funco-tira-odor-e-descongelar-cor-branco-electrolux-127v/p/MLB6309815?pdp_filters=item_id%3AMLB1646212446#polycard_client=offers&wid=MLB1646212446&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=20
Creatina Monohidratada Pura 500g Dark Lab Unidade,97,"R$62,82",35% OFF,https://www.mercadolivre.com.br/creatina-monohidratada-pura-500g-dark-lab-unidade/p/MLB26796581?pdp_filters=item_id%3AMLB4812143184#polycard_client=offers&wid=MLB4812143184&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=21
Smartphone Motorola Moto G24 - 128gb 8gb (4gb Ram+4gb Ram Boost) Ai Camera 50mp Night Vision - Rosa,899,R$729,18% OFF,https://www.mercadolivre.com.br/smartphone-motorola-moto-g24-128gb-8gb-4gb-ram4gb-ram-boost-ai-camera-50mp-night-vision-rosa/p/MLB34079280?pdp_filters=item_id%3AMLB5371350752#polycard_client=offers&wid=MLB5371350752&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=22
Smart Tv Samsung Un50du7700gxzd 50  4k Crystal,3.570,R$2.199,38% OFF no Pix,https://www.mercadolivre.com.br/smart-tv-samsung-un50du7700gxzd-50-4k-crystal/p/MLB35479788?pdp_filters=item_id%3AMLB5085254404#polycard_client=offers&wid=MLB5085254404&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=23
Fritadeira Air Fryer Oven Philco Pfr2200 4 Em 1 12 Litros 1800w Cor Preta 220v,785,"R$707,01",10% OFF no Pix,https://www.mercadolivre.com.br/fritadeira-air-fryer-oven-philco-pfr2200-4-em-1-12-litros-1800w-cor-preta-220v/p/MLB26260230?pdp_filters=item_id%3AMLB3435382483#polycard_client=offers&wid=MLB3435382483&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=24
Britânia Escova Secadora Bec02pr Bivolt 4 Em 1 1300w Cor Preto E Rosa 127v 220v,169,"R$107,03",37% OFF,https://www.mercadolivre.com.br/britnia-escova-secadora-bec02pr-bivolt-4-em-1-1300w-cor-preto-e-rosa-127v-220v/p/MLB22616606?pdp_filters=item_id%3AMLB3682023319#polycard_client=offers&wid=MLB3682023319&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=25
Caixa De Som Boombox 3 Bluetooth Preta Jbl Bivolt,2.999,R$2.229,25% OFF,https://www.mercadolivre.com.br/caixa-de-som-boombox-3-bluetooth-preta-jbl-bivolt/p/MLB34112773?pdp_filters=item_id%3AMLB3994868725#polycard_client=offers&wid=MLB3994868725&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=26
Creatina Monohidratada Em Pote 3000mg 100% Pura Dark Lab,69,"R$49,30",28% OFF,https://www.mercadolivre.com.br/creatina-monohidratada-em-pote-3000mg-100-pura-dark-lab/p/MLB19506691?pdp_filters=item_id%3AMLB3817089255#polycard_client=offers&wid=MLB3817089255&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=27
Samsung Galaxy A55 5g Dual Sim 256 Gb Azul Escuro 8 Gb Ram,3.199,R$2.299,28% OFF,https://www.mercadolivre.com.br/samsung-galaxy-a55-5g-dual-sim-256-gb-azul-escuro-8-gb-ram/p/MLB34731718?pdp_filters=item_id%3AMLB5336918534#polycard_client=offers&wid=MLB5336918534&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=28
Smart Tv 32'' LG Hd 32lr600bpsa Processador 5 Ger6 Alexa Webos,1.499,R$1.424,5% OFF no Pix,https://www.mercadolivre.com.br/smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-webos/p/MLB37929806?pdp_filters=item_id%3AMLB3871802621#polycard_client=offers&wid=MLB3871802621&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=29
"Fritadeira Elétrica Cube Fry Elgin 4,2 L Airfryer 110v",349,"R$219,90",37% OFF,https://www.mercadolivre.com.br/fritadeira-eletrica-cube-fry-elgin-42-l-airfryer-110v/p/MLB38054453?pdp_filters=item_id%3AMLB5005769716#polycard_client=offers&wid=MLB5005769716&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=30
Perfume Attracione Men By Attracione 25 Ml,249,"R$132,05",46% OFF,https://www.mercadolivre.com.br/perfume-attracione-men-by-attracione-25-ml/p/MLB45617876?pdp_filters=item_id%3AMLB5275589650#polycard_client=offers&wid=MLB5275589650&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=31
Conj De Panelas 8 Peças Ceramic Life Smart Plus Vanilla - Brinox,1.099,R$1.099,,https://www.mercadolivre.com.br/conj-de-panelas-8-pecas-ceramic-life-smart-plus-vanilla-brinox/p/MLB32717965?pdp_filters=item_id%3AMLB3797364569#polycard_client=offers&wid=MLB3797364569&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=32
Kit Bolsas Feminina Sacola Transversal Tira Colo Carteira,159,"R$123,80",22% OFF,https://produto.mercadolivre.com.br/MLB-3390554204-kit-bolsas-feminina-sacola-transversal-tira-colo-carteira-_JM#polycard_client=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&position=33&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831
Smartphone Motorola Moto G04s - 128gb 8gb (4gb Ram+4gb Ram Boost) Ai Camera 16mp Sensor Fps Lateral,899,R$685,23% OFF,https://www.mercadolivre.com.br/smartphone-motorola-moto-g04s-128gb-8gb-4gb-ram4gb-ram-boost-ai-camera-16mp-sensor-fps-lateral/p/MLB36337426?pdp_filters=item_id%3AMLB3985814819#polycard_client=offers&wid=MLB3985814819&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=34
Smart Tv 40 Philco Ptv40m9gacgb Android Tv Hdmi Usb Wi-fi Dolby Audio Preta,1.899,R$1.899,,https://www.mercadolivre.com.br/smart-tv-40-philco-ptv40m9gacgb-android-tv-hdmi-usb-wi-fi-dolby-audio-preta/p/MLB45968116?pdp_filters=item_id%3AMLB5290588114#polycard_client=offers&wid=MLB5290588114&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=35
Fritadeira Elérica Air Fryer Oven Philco Pfr2200 12 Litros 4 Em 1 1800w Cor Preta 110v,752,"R$579,25",23% OFF,https://www.mercadolivre.com.br/fritadeira-elerica-air-fryer-oven-philco-pfr2200-12-litros-4-em-1-1800w-cor-preta-110v/p/MLB26755777?pdp_filters=item_id%3AMLB4784517282#polycard_client=offers&wid=MLB4784517282&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=36
Kit 10 Potes Vidro 640ml Hermético Marmita Forno Refratário,172,"R$164,34",5% OFF,https://produto.mercadolivre.com.br/MLB-5100818248-kit-10-potes-vidro-640ml-hermetico-marmita-forno-refratario-_JM#polycard_client=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&position=37&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831
Creatina Monohidratada Pura 1kg Dark Lab Unidade Sem Sabor,201,"R$135,80",32% OFF,https://www.mercadolivre.com.br/creatina-monohidratada-pura-1kg-dark-lab-unidade-sem-sabor/p/MLB25929487?pdp_filters=item_id%3AMLB4812130742#polycard_client=offers&wid=MLB4812130742&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=38
Lavadora De Roupas Electrolux Essencial Care 11kg (les11) 127v,1.899,R$1.574,17% OFF no Pix ou Saldo no Mercado Pago,https://www.mercadolivre.com.br/lavadora-de-roupas-electrolux-essencial-care-11kg-les11-127v/p/MLB15950021?pdp_filters=item_id%3AMLB2042380330#polycard_client=offers&wid=MLB2042380330&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=39
Perfume Feminino La Nuit Trésor Lancôme Edp 100ml,999,"R$599,90",39% OFF,https://www.mercadolivre.com.br/perfume-feminino-la-nuit-tresor-lancme-edp-100ml/p/MLB6280903?pdp_filters=item_id%3AMLB3822787435#polycard_client=offers&wid=MLB3822787435&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=40
Smart Tv 40'' Ptv40e3ersgb Full Hd Led Hdmi Roku Tv Philco,1.549,R$1.299,16% OFF,https://www.mercadolivre.com.br/smart-tv-40-ptv40e3ersgb-full-hd-led-hdmi-roku-tv-philco/p/MLB40510202?pdp_filters=item_id%3AMLB5321462684#polycard_client=offers&wid=MLB5321462684&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=41
